seq,name_zh,name_en,name_alt,country,day_no,date,modern_location,ancient_toponym,gps,opening_hours,admission,duration,scripture_refs,bible_books,story_summary,key_figures,historical_era,theological_significance,life_application,discussion_questions,archaeological_findings,historical_strata,accuracy_rating,key_artifacts,tour_route_position,best_time,dress_code,photo_restrictions,crowd_levels,safety_notes,accessibility,nearby_dining,accommodation,nearby_biblical_sites,local_products,recommendation_score,physical_comment
24,哥林多,Corinth,Ancient Corinth,希臘,11,3/23,希臘伯羅奔尼撒半島東北部,哥林多（Corinthus）,"37.9060°N, 22.8786°E",08:00–20:00（冬季至 15:00）,約 €12,1.5–2 小時,徒 18:1–18　／　林前（整卷）　／　林後（整卷）,使徒行傳、哥林多前書、哥林多後書,哥林多自古以來是戰略要地，更是古希臘繁華的貿易中心。當地人沉迷於賺錢和拜偶像，形成道德淪喪的生活型態。保羅第二次宣教旅程中首次到訪哥林多，與提摩太、西拉同行。保羅在此停留了 18 個月建立教會，認識了亞居拉和百基拉，與他們一同以製造帳篷為業（徒 18:1–3）。保羅在此期間也寫下了帖撒羅尼迦前後書，後來又從以弗所寫下哥林多前後書。,保羅、亞居拉、百基拉、西拉、提摩太、迦流（亞該亞省長）,初代教會（主後 50–52 年保羅停留期間）,哥林多教會的各種問題（分裂、淫亂、偶像食物、屬靈恩賜的濫用）催生了保羅最深刻的教導，包括林前 13 章的「愛的真諦」。在最混亂的教會中，產生了最偉大的關於愛的篇章。,「如今常存的有信、有望、有愛，其中最大的是愛。」你如何在日常生活中實踐這段最熟悉的經文？,保羅在哥林多停留 18 個月，面對如此多問題卻沒有放棄。你在困難的環境中如何堅持？ ｜ 哥林多教會最大的問題是什麼？這些問題在今天的教會中是否仍然存在？,哥林多古城保存有阿波羅神殿（前 6 世紀，7 根石柱仍屹立）、古市集（Agora）、審判台（Bema）、碧冉泉（Peirene Fountain）、皮瑞尼噴泉、商店遺跡。附近的哥林多運河（1893 年完工）切開地峽，連通愛琴海與愛奧尼亞海。,前 8 世紀希臘城邦 → 前 146 年被羅馬摧毀 → 前 44 年凱撒重建 → 羅馬繁華商港 → 拜占庭 → 鄂圖曼 → 現代,高（審判台、市集等考古發現與使徒行傳吻合）,阿波羅神殿殘柱、審判台（Bema）遺跡、碑文出土物,行程第 11 天第一站，雅典下船後前往,上午，可避免正午高溫,戶外遺址，舒適步行鞋、帽子防曬,,中等,遺址地面不平，注意腳步,,,,審判台（遺址內）、堅革哩（東南約 10 公里）,,★★★★★（保羅宣教重鎮，「愛的真諦」誕生的背景城市）,站在審判台前想像保羅被帶到迦流面前的場景，聖經故事在眼前活了過來。阿波羅神殿的殘柱在藍天下格外壯觀。
25,審判台,Bema,Judgement Seat,希臘,11,3/23,希臘哥林多古城遺址內,,"37.9060°N, 22.8786°E（哥林多古城遺址內）",,包含在哥林多古城門票中,10–15 分鐘（作為哥林多古城參觀的一部分）,徒 18:12–17　／　林後 4:17,使徒行傳、哥林多後書,使徒行傳 18 章 12 節記載：當迦流做亞該亞省長的時候，猶太人同心起來攻擊保羅，將他帶到公堂（Bema）的審判台前。迦流卻拒絕審理此案，認為這只是猶太人宗教律法的問題。現今審判台上有一塊碑文，刻著林後 4:17：「我們這至暫至輕的苦楚，要為我們成就極重無比永遠的榮耀。」,保羅、迦流（亞該亞省長）,初代教會（主後 51 年左右）,迦流的判決意外地保護了保羅和初代教會——因為作為羅馬省長的裁決具有判例效力。此後基督教在法律上暫被視為猶太教的分支而受到保護。上帝透過一個非信徒的官員成就了祂的計畫。,「至暫至輕的苦楚」帶來「極重無比永遠的榮耀」。在你承受壓力的時刻，這句經文如何安慰你？,迦流的判決如何影響了初代教會的發展？上帝如何使用非信徒來成就祂的旨意？,,,高（審判台遺跡的位置與使徒行傳記載完全吻合）,審判台石造平台遺跡、林後 4:17 碑文,行程第 11 天，哥林多古城參觀中的重要停留點,,,,,,,,,,,★★★★☆（聖經場景的直接考古印證）,站在這座審判台前，想像保羅面對控告時的從容——這裡是新約歷史活生生的見證。
26,堅革哩,Cenchreae,Kechries,希臘,11,3/23,希臘哥林多東南方約 10 公里，薩羅尼克灣沿岸,,"37.8833°N, 22.9933°E",,免費（海岸遺址）,20–30 分鐘,徒 18:18　／　羅 16:1,使徒行傳、羅馬書,堅革哩是哥林多的東部港口，面向愛琴海。保羅在哥林多事工結束後，從堅革哩海路前往敘利亞。保羅在此剪髮還願（徒 18:18），顯示他仍遵守猶太人的某些傳統。保羅在羅馬書中也推薦了堅革哩教會的女執事非比（Phoebe），稱她是「眾人的幫助者」（羅 16:1–2）。非比被認為是將保羅的羅馬書親手送到羅馬的信使。,保羅、非比（Phoebe，堅革哩教會女執事）,初代教會（主後 52 年左右）,非比是新約聖經中記載的第一位女執事，保羅不僅信任她擔任教會職分，更託付她攜帶羅馬書這封至關重要的書信。這見證了初代教會中女性的重要角色。,,非比被託付攜帶羅馬書，這份信任對你有什麼啟發？,海岸邊可見羅馬時期港口遺跡，部分建築基礎沉入海中。曾出土早期基督教教堂遺跡和馬賽克地板。,,,,行程第 11 天，哥林多之後短暫停留,,,,遊客極少,,,,,哥林多（西北約 10 公里）,,★★★☆☆（遺址不多，但非比的故事令人感動）,海邊的遺跡安靜而不起眼，但想到保羅從這裡啟航、非比從這裡出發送信，小港口有了不凡的意義。
27,雅典衛城,Acropolis of Athens,,希臘,11,3/23,希臘雅典市中心,,"37.9715°N, 23.7267°E",08:00–20:00（冬季至 17:00）,約 €20（含聯票可參觀多個遺址）,1.5–2 小時,徒 17:15–18:1　／　帖前 3:1,使徒行傳、帖撒羅尼迦前書,1987 年列入世界遺產。雅典衛城位於 70 公尺高的山丘上，最引人注目的是希臘古建築經典代表作——巴特農神殿（Parthenon）。保羅在雅典時看見滿城偶像就心裡著急（徒 17:16），並在市場中與希臘哲學家辯論。保羅站在衛城下方的亞略巴古向雅典人傳講福音。,保羅,古典希臘（前 5 世紀建造）；保羅到訪約主後 50 年,衛城上的眾多神殿代表了希臘多神信仰的巔峰。保羅面對滿城偶像時「心裡著急」，這份對真理的迫切感催生了他在亞略巴古的著名講道。保羅沒有批判希臘文化，而是從他們「未識之神」的祭壇入手，巧妙地將福音與希臘哲學對話。,,保羅看見滿城偶像就「心裡著急」。在現代社會中，什麼是你認為的「偶像」？,衛城建築群包括巴特農神殿（前 447–432 年）、伊瑞克提翁神殿（六少女列柱）、勝利女神殿。衛城博物館收藏大量出土文物。,邁錫尼城堡 → 古典希臘神殿區 → 羅馬 → 拜占庭教堂 → 鄂圖曼清真寺 → 現代遺址保護,,巴特農神殿、伊瑞克提翁少女列柱、衛城博物館藏品,行程第 11 天，堅革哩之後,清晨開門時段或傍晚，避開正午人潮與高溫,舒適步行鞋必備（石板路陡峭）,,全年極度擁擠,石板路濕滑時危險，注意腳步；夏季酷熱需補水防曬,有電梯通往山頂平台，但部分區域輪椅不便,,,,,★★★★★（世界七大奇景之一，西方文明的象徵）,置身世界七大奇景中，不禁讚歎數千年前建築藝術之浩瀚。建議搭配衛城博物館一起參觀。
28,亞略巴古,Areopagus,Mars Hill,希臘,11,3/23,希臘雅典衛城西北方山腳下,,"37.9722°N, 23.7233°E",,免費（戶外岩石山丘）,20–30 分鐘,徒 17:16–34,使徒行傳,亞略巴古是雅典最早的高級法院和主要行政機構的聚會場所。保羅在雅典看見滿城偶像就心裡著急，每日在市場與人辯論。當地的伊壁鳩魯和斯多亞學派的哲學家將保羅帶到這塊大岩石上，要聽他講論「新道理」。保羅在此留下了一段氣勢磅礡的講道：「創造宇宙和其中萬物的神……不住人手所造的殿……我們生活、動作、存留，都在乎他。」（徒 17:24–28）。現今岩石上有一塊石碑，以希臘文刻載著保羅當時傳講的福音內容。,保羅、丟尼修（Dionysius，亞略巴古議員，後信主）、大馬哩（Damaris）,古典希臘至初代教會（主後 50 年左右）,保羅在亞略巴古的講道是基督教護教學的典範。他沒有直接攻擊希臘信仰，而是從希臘人已有的「未識之神」祭壇出發，引用希臘詩人的話，將福音與聽眾的文化背景連結。這提醒傳道者要理解受眾的世界觀，用對方能理解的語言分享真理。,保羅在文化差異巨大的環境中傳講福音，你如何向不同背景的人分享你的信仰？,保羅從「未識之神」切入福音信息的策略對你有什麼啟發？ ｜ 「我們生活、動作、存留，都在乎他」——這句話對你的日常生活有什麼意義？,,,,岩石上的希臘文石碑（刻載徒 17:22–31 保羅講道內容）,行程第 11 天，通常在雅典衛城之後步行前往,傍晚日落時分最佳，可俯瞰雅典全景,攀爬岩石需穿防滑鞋,,日落時段人較多,岩石表面光滑，尤其下雨或露水後極為濕滑，務必小心,需攀爬岩石，輪椅無法到達,,,雅典衛城（步行 5 分鐘）,,★★★★★（保羅最著名講道的現場，必訪朝聖地）,攀上光滑的大岩石，坐在保羅曾經站立的地方，面向衛城讀使徒行傳第 17 章——這是此行最感動的時刻之一。石碑上的希臘文經文值得細看。
29,溫泉關古戰場,Thermopylae,,希臘,12,3/24,希臘中部弗西奧蒂斯州（Phthiotis），拉米亞南方,,"38.7964°N, 22.5367°E",,免費（戶外紀念碑）,20–30 分鐘,,,,,,,,,紀念溫泉關戰役（Battle of Thermopylae），又稱三百勇士之戰。公元前 480 年，斯巴達國王列奧尼達斯帶領 298 名精銳戰士在狹窄的溫泉關隘口迎戰波斯帝國薛西斯大軍，全員戰死，卻以驚人的英勇激勵了希臘人最終贏得波希戰爭的勝利。現場有列奧尼達斯銅像和紀念碑。,波希戰爭（前 480 年）→ 此後多次戰役的戰場 → 現代紀念地,,列奧尼達斯銅像、「旅人啊，請轉告拉刻代蒙人」墓誌碑文,行程第 12 天第一站，前往邁泰奧拉途中,任何時段皆可,,,遊客不多，路過短暫停留,,,,,,,★★★☆☆（歷史戰場紀念碑，路過值得停留拍照）,在列奧尼達斯銅像前想像 2500 年前三百勇士的壯烈。由於地形變化，古代的狹窄隘口如今已看不太出來。
30,邁泰奧拉（天空之城）,Meteora,,希臘,12,3/24,希臘色薩利大區卡蘭巴卡（Kalambaka）鎮上方,,"39.7217°N, 21.6306°E",各修道院開放時間不同，一般 09:00–17:00；每間輪流在不同日休息,每間修道院約 €3,3–4 小時（參觀 2–3 間修道院）,,,1988 年列入世界複合遺產（同時滿足自然與文化遺產標準）。「邁泰奧拉」在希臘語中意為「懸浮在空中」——巨大的砂岩石柱拔地而起，最高達 400 公尺，修道院就建在這些石柱頂端。直到 17 世紀，人員和物資都只能靠繩索和吊籃進出。24 座修道院中有 6 座保存至今，其中 4 座為修士所居，2 座為修女所居。這些修道院建造的目的是傳授希臘東正教知識。,,,,,,最早的隱修士在 11 世紀就來到這些岩石洞穴中修行。14 世紀塞爾維亞入侵期間，修士阿塔納西奧斯（Athanasios）創建了大邁泰奧拉修道院（Great Meteoron），開啟了在石柱頂端建造修道院的傳統。,11 世紀隱修 → 14 世紀修道院興建 → 鄂圖曼時期（修道院成為避難所）→ 現代石階開鑿後對外開放,,拜占庭濕壁畫、古代手抄本、聖像畫、吊籃系統遺跡,行程第 12 天第二站，溫泉關之後,清晨或傍晚光線最美；確認目標修道院當日是否開放,進入修道院需穿著保守：男性長褲、女性長裙遮膝（入口通常提供裹裙）；遮蓋肩膀,修道院內部一般禁止拍照，外部可拍,旺季人多，建議早到,石階陡峭，注意安全；部分路段有懸崖邊步道,石階很多，輪椅無法進入修道院,,,,,★★★★★（世界複合遺產，懸浮天際的修道院奇觀）,第一眼看到巨石柱頂的修道院時會忍不住驚呼。想像古代修士只靠繩索上下，這份對信仰的執著令人肅然起敬。
31,庇哩亞,Beroea,Veria / 現今維利亞 VERIA,希臘,12,3/24,希臘中馬其頓大區維利亞市（Veria）,庇哩亞（Beroea）,"40.5222°N, 22.2042°E",,免費（露天紀念遺址）,20–30 分鐘,徒 17:10–15,使徒行傳,保羅和西拉從充滿敵意的帖撒羅尼迦逃出後來到庇哩亞。聖經給予庇哩亞人極高的評價：「這地方的人賢於帖撒羅尼迦的人，甘心領受這道，天天查考聖經，要曉得這道是與不是。」（徒 17:11）。這段經文使庇哩亞成為聖經研讀精神的象徵——「庇哩亞人」至今是認真查考聖經的代名詞。,保羅、西拉,初代教會（主後 50 年左右）,庇哩亞人的態度是信仰生活的典範：他們既「甘心領受」（心態開放），又「天天查考聖經」（理性驗證）。信仰不是盲目接受，而是用聖經真理去驗證所聽到的教導。這種態度對今天的信徒同樣重要。,你是否像庇哩亞人一樣，對所聽到的教導既開放又認真查考？還是只聽不查？,「甘心領受這道，天天查考聖經」——你如何在日常生活中培養這種習慣？ ｜ 為什麼庇哩亞人被稱為「賢於」帖撒羅尼迦人？這對你的信仰學習有什麼啟發？,現代維利亞市保留了一處紀念保羅傳道的會堂遺址（Bema of the Apostle Paul）。入口的石碑以希臘文刻著使徒行傳 17:11。周圍有馬賽克壁畫描繪保羅傳道的場景。,,,保羅講道紀念台（Bema）、使徒行傳 17:11 石碑,行程第 12 天第三站，邁泰奧拉之後,,,,遊客少,,,,,帖撒羅尼迦（東方約 1 小時車程）,,★★★★☆（「天天查考聖經」的典範之城）,紀念遺址不大但意義深遠。石碑上的經文提醒每一位到訪者：做一個認真查考聖經的「庇哩亞人」。
32,帖撒羅尼迦,Thessaloniki,,希臘,12,3/24,希臘第二大城，中馬其頓大區首府,帖撒羅尼迦（Thessalonica）,"40.6401°N, 22.9444°E",,,當日為途經，住宿於此,徒 16:40–17:9　／　徒 17:13–14　／　帖前（整卷）　／　帖後（整卷）,使徒行傳、帖撒羅尼迦前書、帖撒羅尼迦後書,1988 年城內早期基督教與拜占庭古蹟群列入世界遺產。保羅和西拉在帖撒羅尼迦傳道時，一些虔誠的希臘人和尊貴的婦女信奉了耶穌，耶孫曾接待保羅到自己家中。然而不信的猶太人嫉妒煽動暴民，控告保羅和西拉「攪亂天下」，迫使他們連夜離開前往庇哩亞。保羅後來寫下帖撒羅尼迦前後書，書中包含最詳盡的末世論教導，包括基督再來和信徒被提的經典段落（帖前 4:13–18）。,保羅、西拉、耶孫（Jason，接待保羅的信徒）,初代教會（主後 49–50 年）,帖撒羅尼迦前書是保羅最早的書信（約主後 50 年），也可能是新約聖經最早寫成的書卷之一。書中對基督再來的教導塑造了基督教的末世觀。保羅稱讚帖撒羅尼迦信徒是「在馬其頓和亞該亞所有信主之人的榜樣」。,保羅在帖撒羅尼迦只待了短短幾週就被迫離開，但建立的教會卻成為榜樣。你是否低估了短暫接觸也能帶來的深遠影響？,帖撒羅尼迦的信徒在逼迫中仍然成為「榜樣」。在你所處的環境中，你如何成為信仰的榜樣？,城內保存多座早期基督教教堂（列為世界遺產），包括聖底米特里教堂（Agios Dimitrios）、聖索菲亞教堂和圓頂教堂（Rotunda）。白塔（White Tower）是城市地標。,馬其頓王國建城（前 315 年）→ 羅馬 → 拜占庭（帝國第二大城）→ 鄂圖曼 → 現代希臘,,,行程第 12 天最後一站，夜宿此處,傍晚沿海濱大道散步最佳,一般城市穿著,,大城市，正常人潮,,,,Grecotel Larissa Imperial 或同級（5 星）,耶孫的家（市區內）、庇哩亞（西方約 1 小時）,希臘橄欖油、蜂蜜、烏佐酒（Ouzo）,★★★★☆（新約最早書信的誕生背景城市，世界遺產教堂群）,作為希臘第二大城，帖撒羅尼迦兼具歷史深度與現代活力。海濱的白塔日落很美。
33,耶孫的家,House of Jason,,希臘,13,3/25,希臘帖撒羅尼迦市區,,"40.6333°N, 22.9500°E（大約位置）",,目前為修道院，需確認開放情況,20–30 分鐘,徒 17:1–10　／　羅 16:21,使徒行傳、羅馬書,保羅和西拉在帖撒羅尼迦傳道時，耶孫（Jason）接待他們到自己家中。當暴民搜不到保羅和西拉時，就把耶孫和幾個弟兄拉到地方官面前，控告他們「攪亂天下」（徒 17:6）。耶孫被迫交保釋放。後來耶孫成為保羅的同工，保羅在寫給羅馬人的信中，代耶孫問候羅馬的信徒（羅 16:21）。目前此處已改為修道院。,耶孫（Jason）、保羅、西拉,初代教會（主後 49–50 年）,耶孫冒著生命危險接待保羅，為初代教會的「接待」美德做了見證。在逼迫中仍然打開家門接待傳道人，這份勇氣和愛心使他從一個普通信徒成為保羅口中的「同工」。,你是否願意像耶孫一樣，即使有風險也願意為信仰的緣故打開你的家門？,「攪亂天下的人」——這個控告其實是對保羅傳道影響力的見證。你如何看待信仰帶來的「攪亂」？,,,,,行程第 13 天第一站,,,,遊客很少,,,,,帖撒羅尼迦市區各教堂,,★★★☆☆（遺址改為修道院，規模小但故事感人）,在這裡默想耶孫冒險接待保羅的勇氣。修道院安靜肅穆。
34,暗妃波里,Amphipolis,,希臘,13,3/25,希臘中馬其頓大區塞雷斯州（Serres）,,"40.8167°N, 23.8500°E",,免費（露天遺址與獅子紀念碑）,15–20 分鐘,徒 17:1,使徒行傳,暗妃波里首次、也是聖經中唯一的一次出現在使徒行傳 17:1：「保羅和西拉經過暗妃波里、亞波羅尼亞，來到帖撒羅尼迦。」這是保羅第二次宣教旅程中，回應「馬其頓的呼聲」進入歐洲後，從腓立比前往帖撒羅尼迦途中經過的第一個城邑。暗妃波里是羅馬帝國在埃格那田大道（Via Egnatia）上的重要軍事據點。,保羅、西拉,初代教會（主後 49–50 年）；城市歷史可追溯至前 5 世紀,,,,路邊有一座巨大的石獅子紀念碑（前 4 世紀），高約 5.3 公尺，為紀念亞歷山大大帝的海軍將領拉俄墨冬所建。2012 年在附近發現了一座大規模的亞歷山大時代墓葬（Kasta Tomb），引起國際考古界轟動。,,,阿姆菲波利斯獅子紀念碑、卡斯塔墓葬（Kasta Tomb）,行程第 13 天，路經短暫停留,,,,遊客很少,,,,,,,★★★☆☆（路經紀念站，獅子紀念碑值得拍照）,公路旁的巨大石獅在平原上格外醒目。想像保羅和西拉沿著埃格那田大道走過此處的情景。
35,腓立比,Philippi,,希臘,13,3/25,希臘東馬其頓-色雷斯大區卡瓦拉州,腓立比（Philippi）,"41.0133°N, 24.2872°E",08:00–20:00（冬季至 15:00）,約 €8,1.5–2 小時,徒 16:11–40　／　腓（整卷）,使徒行傳、腓立比書,2016 年列入世界文化遺產。腓立比是保羅在歐洲傳福音的第一座城市。主後 49–50 年，保羅回應馬其頓異象來到此地。在腓立比，呂底亞（賣紫色布匹的推雅推喇婦人）成為歐洲第一位基督徒，在河邊受洗（徒 16:14–15）。保羅和西拉後來因趕出使女身上的邪靈而被捕入獄，在監獄中唱詩讚美神，半夜地震打開了監門和鎖鏈，禁卒全家因此信主受洗（徒 16:25–34）。保羅對腓立比教會的愛在腓立比書中流露無遺。,保羅、西拉、路加、呂底亞、腓立比禁卒,馬其頓王國（前 356 年腓力二世建城）；初代教會（主後 49–50 年）,腓立比是福音進入歐洲的第一站，在宣教史上具有里程碑意義。保羅在獄中寫的腓立比書充滿喜樂，名言「我靠著那加給我力量的，凡事都能做」（腓 4:13）就出自這封書信。困境中的喜樂是腓立比教會最深刻的見證。,保羅在獄中仍能唱詩讚美。你在困境中是否還能找到喜樂的源頭？,呂底亞在河邊受洗成為歐洲第一位基督徒。你的「河邊時刻」——生命被福音觸動的那一刻——是什麼？ ｜ 保羅和西拉半夜在監獄中唱詩，地震卻帶來了禁卒一家的得救。你認為讚美在苦難中有什麼力量？,考古遺址面積廣大，包括：羅馬廣場（Forum）、兩座早期基督教大教堂（Basilica A & B）、保羅和西拉被囚禁的監獄遺址、呂底亞受洗處（城外的河邊）、劇場和城牆。,馬其頓王國（前 356 年）→ 羅馬殖民地（奧古斯都時期重建）→ 拜占庭基督教中心 → 荒廢,高（監獄遺址、廣場、河邊受洗處均與使徒行傳吻合）,監獄遺址、大教堂馬賽克地板、呂底亞受洗處紀念禮拜堂,行程第 13 天重頭戲,上午光線最佳，下午人少,戶外遺址，舒適步行鞋,,中等,遺址面積大，注意時間分配,,,,尼亞波利/卡瓦拉（東南約 15 公里）,,★★★★★（福音進入歐洲的第一站，世界文化遺產）,站在監獄遺址中想像保羅和西拉半夜唱詩的場景，是此行最感動的時刻之一。呂底亞受洗處的河邊禮拜堂氣氛寧靜動人。
36,尼亞波利（卡瓦拉）,Neapolis,Kavala,希臘,13,3/25,希臘東馬其頓-色雷斯大區卡瓦拉市,尼亞波利（Neapolis）,"40.9397°N, 24.4014°E",,,路經短暫停留,徒 16:11,使徒行傳,尼亞波利是保羅從小亞細亞渡海到馬其頓後登陸的港口，也就是福音踏上歐洲土地的第一個地點。使徒行傳 16:11 記載：「從特羅亞開船，一直行到撒摩特喇，第二天到了尼亞波利。」古代尼亞波利的遺跡大多埋在現代卡瓦拉城市地下。現今的卡瓦拉是一座美麗的海港城市，建有保羅登陸紀念碑。,保羅、西拉、提摩太、路加,初代教會（主後 49 年）,尼亞波利是福音從亞洲踏上歐洲大陸的第一步。保羅的腳踏上這片土地的那一刻，改變了整個西方文明的走向。,,福音從亞洲傳到歐洲，改變了世界歷史。你認為信仰的傳播如何塑造了你今天所在的文化？,古代港口遺跡埋在現代城市下方。可見拜占庭城堡、鄂圖曼時期的水道橋（Kamares Aqueduct）和舊城區。,,,,行程第 13 天，腓立比之後,傍晚海港風景最美,,,一般城市人潮,,,,,腓立比（西北約 15 公里）,,★★★☆☆（海港城市風景優美，福音入歐的登陸點）,海港邊的保羅紀念碑值得一看。卡瓦拉舊城區沿山而建，水道橋壯觀。想像保羅踏上這片海岸時的心情。
37,塔克辛廣場與獨立大街,Taksim Square & İstiklal Avenue,,土耳其,14,3/26,伊斯坦堡貝伊奧盧區（Beyoğlu），歐洲側新城區,,"41.0370°N, 28.9850°E",,免費（戶外廣場與步行街）,1–2 小時（自由活動購物）,,,,,,,,,塔克辛廣場最顯眼的地標之一是共和國紀念碑（Republic Monument），1928 年建成，紀念土耳其共和國成立。廣場連接的獨立大街（İstiklal Caddesi）全長約 1.4 公里，是伊斯坦堡最繁華的步行購物街。大街上行駛的復古紅色電車（Nostalgic Tram）雖然只有 2 站，卻是全球第二古老的地鐵線（僅次於倫敦地鐵的一部分）。,19 世紀末歐洲社區中心 → 共和國時期現代化標誌 → 現代伊斯坦堡商業與文化中心,,,行程第 14 天，若時間允許的自由活動,下午至傍晚，商店全開且氣氛最佳,一般城市穿著,,週末與傍晚非常擁擠,注意隨身財物，人多時小心扒手,,獨立大街兩側有眾多餐廳、咖啡廳與甜點店；推薦嘗試土耳其冰淇淋和烤栗子,Hilton Istanbul Bomonti（5 星）,,土耳其軟糖（Lokum）、土耳其紅茶組、香料、地毯、皮件,★★★★☆（伊斯坦堡現代面的縮影，購物天堂）,獨立大街的復古紅色電車是拍照的好對象。這裡是感受現代土耳其活力的最佳場所。建議在此採購伴手禮。
